paymentID,accountID,loanID,paymentDate,actualAmount,paymentHistoryCode,dueDate,totalPrincipal,scheduledAmount,transactionID,category,stage
45476383_052018,45476383_1497,45476383,01/05/2018,140300.23,45476383hist2017,15/05/2018,0.00,877.47,T45476383_052018,missing,MortgageServicingStage
45476383_042021,45476383_1497,45476383,01/04/2021,140116.25,45476383hist2017,15/04/2021,401.25,877.47,T45476383_042021,missing,MortgageServicingStage
45476383_042020,45476383_1497,45476383,01/04/2020,140517.50,45476383hist2017,15/04/2020,0.00,877.47,T45476383_042020,missing,MortgageServicingStage
45476383_052019,45476383_1497,45476383,01/05/2019,141177.96,45476383hist2017,15/05/2019,0.00,877.47,T45476383_052019,due,MortgageServicingStage
45476383_052021,45476383_1497,45476383,01/05/2021,158193.38,45476383hist2017,15/05/2021,-18077.13,877.47,T45476383_052021,due,MortgageServicingStage
45476383_042018,45476383_1497,45476383,01/04/2018,140300.23,45476383hist2017,15/04/2018,0.00,877.47,T45476383_042018,missing,MortgageServicingStage
45476383_042019,45476383_1497,45476383,01/04/2019,141177.96,45476383hist2017,15/04/2019,-823.99,877.47,T45476383_042019,due,MortgageServicingStage
45476383_052020,45476383_1497,45476383,01/05/2020,140517.50,45476383hist2017,15/05/2020,0.00,877.47,T45476383_052020,missing,MortgageServicingStage
45422752_012019,45422752_1497,45422752,01/01/2019,147399.04,45422752hist2017,15/01/2019,521.94,984.19,T45422752_012019,due,MortgageServicingStage
45422752_122019,45422752_1497,45422752,01/12/2019,139077.45,45422752hist2017,15/12/2019,547.98,984.19,T45422752_122019,due,MortgageServicingStage
45422752_102020,45422752_1497,45422752,01/10/2020,0.00,45422752hist2017,15/10/2020,0.00,984.19,T45422752_102020,due,MortgageServicingStage
45422752_122020,45422752_1497,45422752,01/12/2020,0.00,45422752hist2017,15/12/2020,0.00,984.19,T45422752_122020,due,MortgageServicingStage
45422752_012018,45422752_1497,45422752,01/01/2018,153556.07,45422752hist2017,15/01/2018,0.00,984.19,T45422752_012018,due,MortgageServicingStage
45422752_012020,45422752_1497,45422752,01/01/2020,138527.76,45422752hist2017,15/01/2020,549.69,984.19,T45422752_012020,due,MortgageServicingStage
45422752_122018,45422752_1497,45422752,01/12/2018,147920.98,45422752hist2017,15/12/2018,520.31,984.19,T45422752_122018,due,MortgageServicingStage
45422752_102019,45422752_1497,45422752,01/10/2019,140171.70,45422752hist2017,15/10/2019,1087.56,984.19,T45422752_102019,due,MortgageServicingStage
45422752_102018,45422752_1497,45422752,01/10/2018,148959.98,45422752hist2017,15/10/2018,517.07,984.19,T45422752_102018,due,MortgageServicingStage
45422752_122017,45422752_1497,45422752,01/12/2017,153556.07,45422752hist2017,15/12/2017,502.76,984.19,T45422752_122017,due,MortgageServicingStage
45422752_012021,45422752_1497,45422752,01/01/2021,0.00,45422752hist2017,15/01/2021,0.00,984.19,T45422752_012021,due,MortgageServicingStage
45422752_112019,45422752_1497,45422752,01/11/2019,139625.43,45422752hist2017,15/11/2019,546.27,984.19,T45422752_112019,due,MortgageServicingStage
45422752_092020,45422752_1497,45422752,01/09/2020,0.00,45422752hist2017,15/09/2020,0.00,984.19,T45422752_092020,due,MortgageServicingStage
45422752_082019,45422752_1497,45422752,01/08/2019,141800.32,45422752hist2017,15/08/2019,539.50,984.19,T45422752_082019,due,MortgageServicingStage
45422752_082018,45422752_1497,45422752,01/08/2018,149992.51,45422752hist2017,15/08/2018,513.86,984.19,T45422752_082018,due,MortgageServicingStage
45422752_092021,45422752_1497,45422752,01/09/2021,0.00,45422752hist2017,15/09/2021,0.00,984.19,T45422752_092021,due,MortgageServicingStage
45422752_112020,45422752_1497,45422752,01/11/2020,0.00,45422752hist2017,15/11/2020,0.00,984.19,T45422752_112020,due,MortgageServicingStage
45422752_062020,45422752_1497,45422752,01/06/2020,0.00,45422752hist2017,15/06/2020,134902.96,984.19,T45422752_062020,due,MortgageServicingStage
45422752_072019,45422752_1497,45422752,01/07/2019,142339.82,45422752hist2017,15/07/2019,537.82,984.19,T45422752_072019,due,MortgageServicingStage
45422752_072018,45422752_1497,45422752,01/07/2018,150506.37,45422752hist2017,15/07/2018,512.26,984.19,T45422752_072018,due,MortgageServicingStage
45422752_062021,45422752_1497,45422752,01/06/2021,0.00,45422752hist2017,15/06/2021,0.00,984.19,T45422752_062021,due,MortgageServicingStage
45422752_062019,45422752_1497,45422752,01/06/2019,142877.64,45422752hist2017,15/06/2019,536.14,984.19,T45422752_062019,due,MortgageServicingStage
45422752_072020,45422752_1497,45422752,01/07/2020,0.00,45422752hist2017,15/07/2020,0.00,984.19,T45422752_072020,due,MortgageServicingStage
45422752_072021,45422752_1497,45422752,01/07/2021,0.00,45422752hist2017,15/07/2021,0.00,984.19,T45422752_072021,due,MortgageServicingStage
45422752_062018,45422752_1497,45422752,01/06/2018,151018.63,45422752hist2017,15/06/2018,510.66,984.19,T45422752_062018,due,MortgageServicingStage
45422752_112018,45422752_1497,45422752,01/11/2018,148441.29,45422752hist2017,15/11/2018,518.69,984.19,T45422752_112018,due,MortgageServicingStage
45422752_092019,45422752_1497,45422752,01/09/2019,141259.26,45422752hist2017,15/09/2019,541.06,984.19,T45422752_092019,due,MortgageServicingStage
45422752_082020,45422752_1497,45422752,01/08/2020,0.00,45422752hist2017,15/08/2020,0.00,984.19,T45422752_082020,due,MortgageServicingStage
45422752_082021,45422752_1497,45422752,01/08/2021,0.00,45422752hist2017,15/08/2021,0.00,984.19,T45422752_082021,due,MortgageServicingStage
45422752_092018,45422752_1497,45422752,01/09/2018,149477.05,45422752hist2017,15/09/2018,515.46,984.19,T45422752_092018,due,MortgageServicingStage
